"fips","location","population","density"
"40053","Grant County, Oklahoma",4333,4.3297962235
"54083","Randolph County, West Virginia",28695,27.599304137
"54087","Roane County, West Virginia",13688,28.306549378
"54091","Taylor County, West Virginia",16695,96.630749722
"54105","Wirt County, West Virginia",5821,25.035358909
"54107","Wood County, West Virginia",83518,227.87494876
"54015","Clay County, West Virginia",8508,24.881649357
"54021","Gilmer County, West Virginia",7823,23.110606566
"54053","Mason County, West Virginia",26516,61.555265792
"54061","Monongalia County, West Virginia",105612,293.29254704
"54063","Monroe County, West Virginia",13275,28.080152586
"54073","Pleasants County, West Virginia",7460,57.331976996
"54103","Wetzel County, West Virginia",15065,42.0731367
"54011","Cabell County, West Virginia",91945,327.18359953
"54037","Jefferson County, West Virginia",57146,273.03969604
"54039","Kanawha County, West Virginia",178124,197.5573514
"54045","Logan County, West Virginia",32019,70.562171378
"54071","Pendleton County, West Virginia",6969,10.012220055
"54077","Preston County, West Virginia",33432,51.527891925
"54033","Harrison County, West Virginia",67256,161.67008701
"54069","Ohio County, West Virginia",41411,391.2966157
"54085","Ritchie County, West Virginia",9554,21.137632721
"54013","Calhoun County, West Virginia",7109,25.457517196
"54065","Morgan County, West Virginia",17884,78.071294153
"54043","Lincoln County, West Virginia",20409,46.698195797
"54081","Raleigh County, West Virginia",73361,121.18616658
"54007","Braxton County, West Virginia",13957,27.327303933
"54079","Putnam County, West Virginia",56450,163.30210871
"54001","Barbour County, West Virginia",16441,48.205754071
"54005","Boone County, West Virginia",21457,42.782731993
"54047","McDowell County, West Virginia",17624,33.03730782
"54099","Wayne County, West Virginia",39402,77.868567064
"54109","Wyoming County, West Virginia",20394,40.831293511
"54035","Jackson County, West Virginia",28576,61.538550758
"30111","Yellowstone County, Montana",161300,61.249907888
"30063","Missoula County, Montana",119600,46.124019179
"30081","Ravalli County, Montana",43806,18.321220792
"30105","Valley County, Montana",7396,1.5013905822
"30013","Cascade County, Montana",81366,30.155952191
"30027","Fergus County, Montana",11050,2.5464764323
"30033","Garfield County, Montana",1258,0.2690011688
"30061","Mineral County, Montana",4397,3.6052229198
"30069","Petroleum County, Montana",487,0.2941488054
"30077","Powell County, Montana",6890,2.9621132115
"30089","Sanders County, Montana",12113,4.3881307444
"30109","Wibaux County, Montana",969,1.0892884993
"30031","Gallatin County, Montana",114434,43.928342984
"30059","Meagher County, Montana",1862,0.778470989
"30009","Carbon County, Montana",10725,5.2375714543
"30001","Beaverhead County, Montana",9453,1.7054905801
"30029","Flathead County, Montana",103806,20.405340238
"30065","Musselshell County, Montana",4633,2.4789219461
"30071","Phillips County, Montana",3954,0.7691891173
"31083","Harlan County, Nebraska",3380,6.1069654585
"31185","York County, Nebraska",13679,23.893031935
"31009","Blaine County, Nebraska",465,0.6542953464
"31019","Buffalo County, Nebraska",49659,51.288943727
"31037","Colfax County, Nebraska",10709,26.015018698
"31049","Deuel County, Nebraska",1794,4.0786529296
"31087","Hitchcock County, Nebraska",2762,3.8904555632
"31113","Logan County, Nebraska",748,1.3107617489
"31141","Platte County, Nebraska",33470,49.651397125
"31143","Polk County, Nebraska",5213,11.892442783
"31169","Thayer County, Nebraska",5003,8.7189595068
"31013","Box Butte County, Nebraska",10783,10.027968985
